pathway,Biodomain,biodomain_top5
GOBP_REGULATION_OF_CELL_CYCLE_CHECKPOINT,Cell Cycle,"Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Immune Response"
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_CHECKPOINT,Cell Cycle,"Cell Cycle, Apoptosis, Proteostasis, Immune Response, Epigenetic"
GOBP_TOXIN_TRANSPORT,unknown,"Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Autophagy"
GOBP_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Apoptosis,"Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Immune Response"
GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Apoptosis,"Apoptosis, Oxidative Stress, Proteostasis, Endolysosome, Immune Response"
GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Apoptosis,"Apoptosis, Oxidative Stress, Proteostasis, Endolysosome, Immune Response"
GOBP_POSITIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR,Apoptosis,"Apoptosis, Immune Response, Oxidative Stress, Proteostasis, DNA Repair"
GOBP_CELL_CYCLE_DNA_REPLICATION_INITIATION,Cell Cycle,"Cell Cycle, DNA Repair, Proteostasis, Autophagy, Epigenetic"
GOBP_REGULATION_OF_MRNA_BINDING,unknown,"RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Immune Response"
GOBP_REGULATION_OF_PROTEIN_AUTOUBIQUITINATION,Proteostasis,"Proteostasis, DNA Repair, Autophagy, Immune Response, Epigenetic"
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION,unknown,"Immune Response, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization"
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS,Vasculature,"Vasculature, Immune Response, Oxidative Stress, Structural Stabilization, Proteostasis"
GOBP_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_PROGRAMMED_CELL_DEATH,Apoptosis,"Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Synapse"
GOBP_NEGATIVE_REGULATION_OF_CHONDROCYTE_PROLIFERATION,unknown,"Vasculature, Immune Response, Structural Stabilization, Proteostasis, Apoptosis"
GOBP_REGULATION_OF_CELL_CYCLE_G2_M_PHASE_TRANSITION,Cell Cycle,"Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic"
GOBP_REGULATION_OF_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE,Mitochondrial Metabolism,"Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Lipid Metabolism"
GOBP_MITOTIC_DNA_REPLICATION,Cell Cycle,"Cell Cycle, DNA Repair, Mitochondrial Metabolism, Proteostasis, Autophagy"
GOBP_POSITIVE_REGULATION_OF_PROTEIN_DEUBIQUITINATION,Proteostasis,"Proteostasis, Oxidative Stress, Apoptosis, Endolysosome, Immune Response"
GOBP_ORGANELLE_DISASSEMBLY,unknown,"Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism"
GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,Proteostasis,"Proteostasis, Autophagy, Apoptosis, DNA Repair, Endolysosome"
GOBP_NEGATIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,Proteostasis,"Proteostasis, Autophagy, Apoptosis, Endolysosome, DNA Repair"
GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,Proteostasis,"Proteostasis, Autophagy, Apoptosis, Endolysosome, DNA Repair"
GOBP_POSITIVE_REGULATION_OF_ER_ASSOCIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Proteostasis,"Proteostasis, Autophagy, DNA Repair, Oxidative Stress, Endolysosome"
GOBP_PROTEIN_LOCALIZATION_TO_CONDENSED_CHROMOSOME,Cell Cycle,"Cell Cycle, DNA Repair, Proteostasis, Epigenetic, Structural Stabilization"
GOBP_REGULATION_OF_TRAIL_ACTIVATED_APOPTOTIC_SIGNALING_PATHWAY,Apoptosis,"Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome"
GOBP_LIPOSACCHARIDE_METABOLIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Endolysosome, Oxidative Stress, Immune Response, Autophagy"
GOBP_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT,Proteostasis,"Proteostasis, Autophagy, Endolysosome, DNA Repair, Oxidative Stress"
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,Proteostasis,"Proteostasis, Oxidative Stress, Autophagy, Immune Response, Epigenetic"
GOBP_NEGATIVE_REGULATION_OF_P38MAPK_CASCADE,unknown,"Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome"
GOBP_REGULATION_OF_AMINO_ACID_TRANSMEMBRANE_TRANSPORT,unknown,"Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy"
GOBP_REGULATION_OF_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,Proteostasis,"Proteostasis, Oxidative Stress, Autophagy, Endolysosome, Epigenetic"
GOBP_REGULATION_OF_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,Proteostasis,"Proteostasis, Endolysosome, Autophagy, Oxidative Stress, Epigenetic"
GOBP_NEGATIVE_REGULATION_OF_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE,Proteostasis,"Proteostasis, Oxidative Stress, Autophagy, Epigenetic, Immune Response"
GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_EIF2_ALPHA_PHOSPHORYLATION,Proteostasis,"Proteostasis, Oxidative Stress, Autophagy, Immune Response, Epigenetic"
GOBP_REGULATION_OF_DNA_PRIMASE_ACTIVITY,Cell Cycle,"DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy"
GOBP_REGULATION_OF_HEPATOCYTE_APOPTOTIC_PROCESS,Apoptosis,"Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome"
GOBP_REGULATION_OF_RETROGRADE_PROTEIN_TRANSPORT_ER_TO_CYTOSOL,Proteostasis,"Proteostasis, Endolysosome, Autophagy, RNA Spliceosome, DNA Repair"
GOBP_REGULATION_OF_ERAD_PATHWAY,Proteostasis,"Proteostasis, Autophagy, Endolysosome, DNA Repair, Oxidative Stress"
GOBP_POSITIVE_REGULATION_OF_TELOMERASE_RNA_LOCALIZATION_TO_CAJAL_BODY,unknown,"RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy"
GOBP_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT,unknown,"Immune Response, Synapse, Oxidative Stress, Proteostasis, Structural Stabilization"
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT,Immune Response,"Immune Response, Synapse, Oxidative Stress, Proteostasis, Structural Stabilization"
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_MATRIX_ADHESION_VIA_FIBRONECTIN,Vasculature,"Vasculature, Structural Stabilization, Immune Response, Endolysosome, APP Metabolism"
GOBP_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION_IN_RESPONSE_TO_MITOCHONDRIAL_DEPOLARIZATION,Mitochondrial Metabolism,"Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Synapse"
GOBP_REGULATION_OF_METALLOPEPTIDASE_ACTIVITY,Metal Binding and Homeostasis,"Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Immune Response, Endolysosome"
GOBP_NEGATIVE_REGULATION_OF_METALLOPEPTIDASE_ACTIVITY,Metal Binding and Homeostasis,"Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Immune Response, Endolysosome"
GOBP_POSITIVE_REGULATION_OF_RNA_BINDING,Epigenetic,"RNA Spliceosome, Proteostasis, Epigenetic, Synapse, Autophagy"
GOBP_POSITIVE_REGULATION_OF_ASPARTIC_TYPE_PEPTIDASE_ACTIVITY,unknown,"Proteostasis, Apoptosis, Endolysosome, Immune Response, DNA Repair"
GOBP_REGULATION_OF_SNRNA_TRANSCRIPTION_BY_RNA_POLYMERASE_II,RNA Spliceosome,"RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle"
GOBP_REGULATION_OF_LYMPHOID_PROGENITOR_CELL_DIFFERENTIATION,Immune Response,"Immune Response, Vasculature, Myelination, Structural Stabilization, Proteostasis"
GOBP_NEGATIVE_REGULATION_OF_MEMBRANE_PERMEABILITY,unknown,"Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis"
GOBP_POSITIVE_REGULATION_OF_MEMBRANE_PERMEABILITY,Lipid Metabolism,"Vasculature, Synapse, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization"
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_CONDENSATION,Cell Cycle,"Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Proteostasis"
GOBP_REGULATION_OF_3_UTR_MEDIATED_MRNA_STABILIZATION,unknown,"RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair"
GOBP_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,Proteostasis,"Proteostasis, Oxidative Stress, Autophagy, Immune Response, Epigenetic"
GOBP_REGULATION_OF_AMYLOID_FIBRIL_FORMATION,APP Metabolism,"APP Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse"
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_HYPOXIA,Apoptosis,"Apoptosis, Oxidative Stress, Immune Response, Mitochondrial Metabolism, APP Metabolism"
GOBP_EMBRYONIC_BRAIN_DEVELOPMENT,unknown,"Vasculature, Synapse, Myelination, Immune Response, Structural Stabilization"
GOBP_MITOCHONDRIAL_TRANSMEMBRANE_TRANSPORT,Mitochondrial Metabolism,"Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism"
GOBP_PROTEIN_POLYUFMYLATION,unknown,"Proteostasis, RNA Spliceosome, Apoptosis, Endolysosome, Immune Response"
GOBP_PRESYNAPTIC_ACTIVE_ZONE_ORGANIZATION,Synapse,"Synapse, Structural Stabilization, Proteostasis, Autophagy, Immune Response"
GOBP_DORSAL_ROOT_GANGLION_DEVELOPMENT,unknown,"Vasculature, Myelination, Immune Response, Structural Stabilization, Synapse"
GOBP_DOUBLE_STRAND_BREAK_REPAIR_INVOLVED_IN_MEIOTIC_RECOMBINATION,Cell Cycle,"DNA Repair, Cell Cycle, Epigenetic, Autophagy, Proteostasis"
GOBP_REGULATION_OF_DNA_DAMAGE_CHECKPOINT,Cell Cycle,"DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Proteostasis"
GOBP_NEGATIVE_REGULATION_OF_DNA_DAMAGE_CHECKPOINT,Cell Cycle,"DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Proteostasis"
GOBP_POSITIVE_REGULATION_OF_DNA_TEMPLATED_DNA_REPLICATION,Cell Cycle,"Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Proteostasis"
GOBP_REGULATION_OF_ACTIN_CYTOSKELETON_REORGANIZATION,Structural Stabilization,"Structural Stabilization, Synapse, Proteostasis, Myelination, Autophagy"
GOBP_POSITIVE_REGULATION_OF_ACTIN_CYTOSKELETON_REORGANIZATION,Structural Stabilization,"Structural Stabilization, Synapse, Proteostasis, Autophagy, Myelination"
GOBP_POSITIVE_REGULATION_OF_MYOBLAST_PROLIFERATION,unknown,"Vasculature, Immune Response, Structural Stabilization, Myelination, Proteostasis"
GOBP_REGULATION_OF_MYOBLAST_PROLIFERATION,unknown,"Vasculature, Immune Response, Myelination, Structural Stabilization, Proteostasis"
GOBP_REGULATION_OF_RHO_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY,unknown,"Synapse, Structural Stabilization, Immune Response, Proteostasis, Oxidative Stress"
GOBP_NEGATIVE_REGULATION_OF_T_CELL_MIGRATION,Immune Response,"Immune Response, Vasculature, Apoptosis, Oxidative Stress, Structural Stabilization"
GOBP_REGULATION_OF_APOPTOTIC_CELL_CLEARANCE,Apoptosis,"Apoptosis, Immune Response, Autophagy, Proteostasis, Endolysosome"
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_CELL_CLEARANCE,Apoptosis,"Apoptosis, Immune Response, Autophagy, Proteostasis, Endolysosome"
GOBP_POSITIVE_REGULATION_OF_GLYCOGEN_STARCH_SYNTHASE_ACTIVITY,unknown,"Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy"
GOBP_REGULATION_OF_T_CELL_COSTIMULATION,Immune Response,"Immune Response, Vasculature, Apoptosis, Synapse, Proteostasis"
GOBP_NEGATIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS,unknown,"RNA Spliceosome, Epigenetic, Proteostasis, Immune Response, Autophagy"
GOBP_REGULATION_OF_SREBP_SIGNALING_PATHWAY,unknown,"Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic"
GOBP_REGULATION_OF_EARLY_ENDOSOME_TO_LATE_ENDOSOME_TRANSPORT,Endolysosome,"Endolysosome, Autophagy, Lipid Metabolism, Immune Response, Oxidative Stress"
GOBP_POSITIVE_REGULATION_OF_EARLY_ENDOSOME_TO_LATE_ENDOSOME_TRANSPORT,Endolysosome,"Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress, Immune Response"
GOBP_POSITIVE_REGULATION_OF_ANDROGEN_RECEPTOR_ACTIVITY,unknown,"Lipid Metabolism, Immune Response, Mitochondrial Metabolism, Epigenetic, Oxidative Stress"
GOBP_REGULATION_OF_FOREBRAIN_NEURON_DIFFERENTIATION,unknown,"Synapse, Immune Response, Myelination, Structural Stabilization, Epigenetic"
GOBP_NEGATIVE_REGULATION_OF_ATP_BIOSYNTHETIC_PROCESS,Mitochondrial Metabolism,"Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Cell Cycle, Lipid Metabolism"
GOBP_POSITIVE_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,Immune Response,"Immune Response, Vasculature, Apoptosis, Synapse, Proteostasis"
GOBP_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION,Immune Response,"Immune Response, Synapse, Myelination, Structural Stabilization, Autophagy"
GOBP_POSITIVE_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION,Immune Response,"Immune Response, Synapse, Myelination, Structural Stabilization, Autophagy"
GOBP_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,Apoptosis,"Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome"
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,Apoptosis,"Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome"
GOBP_POSITIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Apoptosis,"Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Synapse"
GOBP_REGULATION_OF_UNSATURATED_FATTY_ACID_BIOSYNTHETIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Epigenetic"
GOCC_CYTOPLASMIC_UBIQUITIN_LIGASE_COMPLEX,Proteostasis,"Proteostasis, DNA Repair, Autophagy, Immune Response, Epigenetic"
GOCC_VACUOLAR_PROTON_TRANSPORTING_V_TYPE_ATPASE_V0_DOMAIN,Mitochondrial Metabolism,"Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Oxidative Stress"
GOCC_NUCLEAR_CHROMOSOME,unknown,"Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy"
GOCC_PROTEASOME_COMPLEX,Proteostasis,"Proteostasis, Autophagy, DNA Repair, Immune Response, Oxidative Stress"
GOCC_CONDENSED_CHROMOSOME,unknown,"Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Myelination"
GOCC_CONDENSED_NUCLEAR_CHROMOSOME,unknown,"Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization"
GOCC_CONDENSIN_COMPLEX,unknown,"Structural Stabilization, Proteostasis, Cell Cycle, DNA Repair, Epigenetic"
GOCC_LATERAL_ELEMENT,unknown,"Structural Stabilization, Myelination, Synapse, Proteostasis, Tau Homeostasis"
GOCC_OUTER_KINETOCHORE,unknown,"Cell Cycle, Structural Stabilization, DNA Repair, Mitochondrial Metabolism, Proteostasis"
GOCC_PRP19_COMPLEX,unknown,"RNA Spliceosome, Proteostasis, DNA Repair, Autophagy, Epigenetic"
GOCC_PAM_COMPLEX_TIM23_ASSOCIATED_IMPORT_MOTOR,Mitochondrial Metabolism,"Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, DNA Repair"
GOCC_PHAGOCYTIC_CUP,Autophagy,"Endolysosome, Autophagy, Oxidative Stress, Immune Response, Lipid Metabolism"
GOCC_INTERSTITIAL_MATRIX,Structural Stabilization,"Structural Stabilization, Vasculature, Proteostasis, Immune Response, Endolysosome"
GOCC_REPLICATION_FORK,unknown,"DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Epigenetic"
GOCC_ALPHA_DNA_POLYMERASE_PRIMASE_COMPLEX,unknown,"DNA Repair, Cell Cycle, Proteostasis, Mitochondrial Metabolism, Epigenetic"
GOCC_TIM23_MITOCHONDRIAL_IMPORT_INNER_MEMBRANE_TRANSLOCASE_COMPLEX,Mitochondrial Metabolism,"Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Synapse, Structural Stabilization"
GOCC_LATE_ENDOSOME,Endolysosome,"Endolysosome, Autophagy, Lipid Metabolism, Immune Response, Oxidative Stress"
GOCC_MULTIVESICULAR_BODY,Endolysosome,"Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Oxidative Stress"
GOCC_SEC61_TRANSLOCON_COMPLEX,unknown,"Proteostasis, Endolysosome, Autophagy, Structural Stabilization, RNA Spliceosome"
GOCC_SMOOTH_ENDOPLASMIC_RETICULUM,unknown,"Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization"
GOCC_ROUGH_ENDOPLASMIC_RETICULUM,Structural Stabilization,"Proteostasis, Autophagy, Endolysosome, Lipid Metabolism, Structural Stabilization"
GOCC_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT,Proteostasis,"Proteostasis, Endolysosome, Autophagy, Structural Stabilization, RNA Spliceosome"
GOCC_GOLGI_ASSOCIATED_VESICLE,Proteostasis,"Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism"
GOCC_PROTEASOME_CORE_COMPLEX,Proteostasis,"Proteostasis, Autophagy, DNA Repair, Cell Cycle, Epigenetic"
GOCC_KINESIN_COMPLEX,unknown,"Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy"
GOCC_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX,unknown,"RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, Synapse"
GOCC_CYCLIN_CDK_POSITIVE_TRANSCRIPTION_ELONGATION_FACTOR_COMPLEX,unknown,"Cell Cycle, RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair"
GOCC_KATANIN_COMPLEX,unknown,"Structural Stabilization, Synapse, Proteostasis, Autophagy, Myelination"
GOCC_PROTEASOME_REGULATORY_PARTICLE_LID_SUBCOMPLEX,Proteostasis,"Proteostasis, Structural Stabilization, DNA Repair, Autophagy, Immune Response"
GOCC_SARCOPLASM,unknown,"Structural Stabilization, Mitochondrial Metabolism, Myelination, Vasculature, Proteostasis"
GOCC_SARCOPLASMIC_RETICULUM,unknown,"Structural Stabilization, Mitochondrial Metabolism, Calcium Binding and Homeostasis, Synapse, Vasculature"
GOCC_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEIN_COMPLEX,unknown,"Lipid Metabolism, Immune Response, Endolysosome, Structural Stabilization, Proteostasis"
GOCC_NUCLEAR_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX,unknown,"Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Mitochondrial Metabolism"
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,Proteostasis,"Proteostasis, RNA Spliceosome, Structural Stabilization, Autophagy, Epigenetic"
GOCC_VESICLE_COAT,unknown,"Endolysosome, Structural Stabilization, Autophagy, Proteostasis, Lipid Metabolism"
GOCC_COATED_VESICLE,unknown,"Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism, Mitochondrial Metabolism"
GOCC_COPI_COATED_VESICLE,Proteostasis,"Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism"
GOCC_ENDOCYTIC_VESICLE,Endolysosome,"Endolysosome, Autophagy, Lipid Metabolism, Immune Response, Oxidative Stress"
GOCC_GOLGI_ASSOCIATED_VESICLE_MEMBRANE,Proteostasis,"Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism"
GOCC_COATED_VESICLE_MEMBRANE,Endolysosome,"Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism, Mitochondrial Metabolism"
GOCC_PHAGOCYTIC_VESICLE_MEMBRANE,Endolysosome,"Endolysosome, Autophagy, Lipid Metabolism, Immune Response, Oxidative Stress"
GOCC_PRERIBOSOME,unknown,"RNA Spliceosome, Proteostasis, DNA Repair, Autophagy, Endolysosome"
GOCC_ROUGH_ENDOPLASMIC_RETICULUM_MEMBRANE,Structural Stabilization,"Proteostasis, Structural Stabilization, Autophagy, Endolysosome, RNA Spliceosome"
GOCC_DNA_REPLICATION_PREINITIATION_COMPLEX,Cell Cycle,"Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Mitochondrial Metabolism"
GOCC_BOX_H_ACA_SNORNP_COMPLEX,unknown,"RNA Spliceosome, Proteostasis, Synapse, Epigenetic, Autophagy"
GOCC_CUL5_RING_UBIQUITIN_LIGASE_COMPLEX,Proteostasis,"Proteostasis, DNA Repair, Autophagy, Immune Response, Structural Stabilization"
GOCC_LATE_ENDOSOME_MEMBRANE,Endolysosome,"Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress"
GOCC_SMALL_SUBUNIT_PROCESSOME,unknown,"RNA Spliceosome, Proteostasis, Structural Stabilization, DNA Repair, Autophagy"
GOCC_STEREOCILIUM_TIP,unknown,"Structural Stabilization, Synapse, Myelination, Proteostasis, Endolysosome"
GOCC_CORTICAL_ENDOPLASMIC_RETICULUM,unknown,"Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism, Structural Stabilization"
GOCC_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT_MEMBRANE,Structural Stabilization,"Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Epigenetic"
GOCC_PROTON_TRANSPORTING_V_TYPE_ATPASE_V0_DOMAIN,Mitochondrial Metabolism,"Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism"
GOCC_ELONGATOR_HOLOENZYME_COMPLEX,unknown,"RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Structural Stabilization"
GOCC_PWP2P_CONTAINING_SUBCOMPLEX_OF_90S_PRERIBOSOME,unknown,"RNA Spliceosome, Proteostasis, DNA Repair, Autophagy, Structural Stabilization"
GOCC_ARYL_HYDROCARBON_RECEPTOR_COMPLEX,unknown,"Immune Response, Oxidative Stress, Endolysosome, Lipid Metabolism, Proteostasis"
GOCC_EXON_EXON_JUNCTION_COMPLEX,unknown,"RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Cell Cycle"
GOCC_AZUROPHIL_GRANULE_MEMBRANE,unknown,"Endolysosome, Immune Response, Structural Stabilization, Apoptosis, Autophagy"
GOCC_CD40_RECEPTOR_COMPLEX,Immune Response,"Immune Response, Vasculature, Structural Stabilization, Apoptosis, Endolysosome"
GOCC_TRANSCRIPTION_FACTOR_AP_1_COMPLEX,unknown,"Proteostasis, Synapse, Immune Response, Epigenetic, APP Metabolism"
GOCC_DERLIN_1_RETROTRANSLOCATION_COMPLEX,unknown,"Proteostasis, Endolysosome, Autophagy, DNA Repair, Synapse"
GOCC_NUCLEAR_OUTER_MEMBRANE_ENDOPLASMIC_RETICULUM_MEMBRANE_NETWORK,unknown,"Endolysosome, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy"
GOCC_NUCLEAR_RNA_EXPORT_FACTOR_COMPLEX,unknown,"RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair"
GOCC_PARASPECKLES,unknown,"RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Structural Stabilization"
GOCC_MCM_COMPLEX,unknown,"Cell Cycle, DNA Repair, Proteostasis, Mitochondrial Metabolism, Epigenetic"
GOCC_ORGANELLE_MEMBRANE_CONTACT_SITE,unknown,"Endolysosome, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Lipid Metabolism"
GOCC_MITOCHONDRIA_ASSOCIATED_ENDOPLASMIC_RETICULUM_MEMBRANE,Mitochondrial Metabolism,"Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Structural Stabilization"
GOCC_BASAL_CORTEX,unknown,"Synapse, Vasculature, Myelination, Structural Stabilization, Immune Response"
GOCC_PHAGOCYTIC_VESICLE,Endolysosome,"Endolysosome, Autophagy, Oxidative Stress, Immune Response, Lipid Metabolism"
GOCC_PERINUCLEAR_REGION_OF_CYTOPLASM,unknown,"Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism"
GOCC_RECYCLING_ENDOSOME_MEMBRANE,Endolysosome,"Endolysosome, Autophagy, Lipid Metabolism, Immune Response, Oxidative Stress"
GOCC_BRCA1_A_COMPLEX,unknown,"DNA Repair, Proteostasis, Epigenetic, Cell Cycle, Autophagy"
GOCC_HAUS_COMPLEX,unknown,"Structural Stabilization, Synapse, Proteostasis, Mitochondrial Metabolism, Autophagy"
GOCC_POST_MRNA_RELEASE_SPLICEOSOMAL_COMPLEX,RNA Spliceosome,"RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Synapse"
GOCC_TRANSLOCON_COMPLEX,unknown,"Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy, Endolysosome"
GOCC_ELASTIC_FIBER,Structural Stabilization,"Structural Stabilization, Vasculature, Myelination, Proteostasis, Oxidative Stress"
GOCC_RAGULATOR_COMPLEX,unknown,"Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis"
GOCC_ER_MEMBRANE_INSERTION_COMPLEX,unknown,"Proteostasis, Endolysosome, Mitochondrial Metabolism, Structural Stabilization, Autophagy"
GOCC_EMC_COMPLEX,unknown,"Proteostasis, RNA Spliceosome, Structural Stabilization, Autophagy, DNA Repair"
